issue_id,q,a,full_text,summary,search_terms,polarity,overall_support,overall_sample,d_support,d_sample,r_support,r_sample,district,state,region,poll_level,sourch,Notes,Survey Date
8001,Opinion of President Donald Trump imposing a 100% tariff on movies produced in other countries,Approve,President Donald Trump was right to impose a 100% tariff on movies produced in other counties,Approve movie tariffs,trump movie tariffs; foreign film tariffs; imported movies tax,1,0.27,1117,0.03,396,0.61,310,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/Approval_of_Trump_s_Actions_poll_results.pdf,Aggregate; not included in survey,10/02/2025
8001,Opinion of President Donald Trump imposing a 100% tariff on movies produced in other countries,Disapprove,President Donald Trump was wrong to impose a 100% tariff on movies produced in other counties,Oppose movie tariffs,trump movie tariffs; trump film tariffs; movie import tax,-1,0.61,1117,0.92,396,0.2,310,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/Approval_of_Trump_s_Actions_poll_results.pdf,Aggregate; not included in survey,10/02/2025
8002,"Do you think the Trump administration is focusing too much, about the right amount, or not enough on putting tariffs on goods from other countries",Too much,The Trump administration is focusing too much on putting tariffs on goods from other countries.,Too much tariff focus,trump tariff focus; tariffs on imports; trump trade policy,1,0.6,2435,0.87,680,0.26,760,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20251005_1.pdf,,10/03/2025
8002,"Do you think the Trump administration is focusing too much, about the right amount, or not enough on putting tariffs on goods from other countries",Right amount,The Trump administration is focusing the right amount on putting tariffs on goods from other countries.,Right tariff focus,trump tariff policy; american import tariffs; us trade tariffs,0,0.33,2435,0.08,680,0.68,760,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20251005_1.pdf,,10/03/2025
8002,"Do you think the Trump administration is focusing too much, about the right amount, or not enough on putting tariffs on goods from other countries",Not enough,The Trump administration is not focusing enough on putting tariffs on goods from other countries.,Too little tariff focus,more import tariffs; trump raise tariffs; higher trade tariffs,-1,0.07,2435,0.05,680,0.06,760,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20251005_1.pdf,,10/03/2025
8003,Do you think that tariffs on foreign goods imported into the U.S. should be,Increased,Tariffs on foreign goods imported into the U.S. should be increased.,Raise foreign tariffs,increase import tariffs; raise trade tariffs; higher tariff rates,1,0.1,1620,0.01,685,0.21,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8003,Do you think that tariffs on foreign goods imported into the U.S. should be,Kept the same,Tariffs on foreign goods imported into the U.S. should be kept at their current level.,Keep foreign tariffs same,keep tariffs same; current tariff levels; no tariff change,0,0.24,1620,0.1,685,0.43,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8003,Do you think that tariffs on foreign goods imported into the U.S. should be,Decreased,Tariffs on foreign goods imported into the U.S. should be decreased.,Lower foreign tariffs,lower import tariffs; cut trade tariffs; reduce tariff rates,1,0.49,1620,0.8,685,0.18,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8004,Would you support or oppose a 100% tariff on goods imported from China,Support,The United States should impose a 100% tariff on goods imported from China.,Back 100% china tariff,china import tariffs; hundred percent tariff; trump china tariffs,1,0.29,1616,0.05,683,0.58,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8004,Would you support or oppose a 100% tariff on goods imported from China,Oppose,The United States should not impose a 100% tariff on goods imported from China.,Oppose 100% china tariff,against china tariffs; oppose import tariffs; stop trade tariffs,-1,0.56,1616,0.88,683,0.25,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8005,Trump Issue Approval – Foreign trade,Approve,President Donald Trump is handling foreign trade well.,Approve Trump trade policy,trump foreign trade; support trump trade; trump trade policy,1,0.36,1617,0.04,684,0.78,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
8005,Trump Issue Approval – Foreign trade,Disapprove,President Donald Trump is handling foreign trade poorly.,Disapprove Trump trade,trump trade failure; trump bad tariffs; failed trade policy,-1,0.55,1617,0.92,684,0.15,587,,,,national,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yAo1neA.pdf,Party ID + Leaners (Independents that lean Dem/Rep),10/20/2025
